Category,Item Name,Price,Unit/Notes
Flowers,Alstromeria,$6.00-$8.00,per bunch
Flowers,Anemone,$20.00,per bunch
Flowers,Anemone Local,$9.00,per bunch
Flowers,Aster Serenade,$12.50,per bunch
Flowers,Astrantia,$13.00,per bunch
Flowers,Bird of Paradise,$10.00,per bunch
Flowers,"Calla Lily White, Yellow, Orange",$19.00,per bunch
Flowers,Carnation,$13.00-$14.00,per bunch
Flowers,Carnation Florigene,$15.00,per bunch
Flowers,Carnation Mini,$4.50-$5.00,per bunch
Flowers,Cosmos,$9.00-$11.00,per bunch
Flowers,Cremone,$13.00,per bunch
Flowers,Cremone Fall color Seasonal,$15.00,per bunch
Flowers,Dahlia,$10.00-$12.00,per bunch
Flowers,Dahlia Dinner plate,$10.00-$12.00,per bunch
Flowers,Delphinium,$12.00-$14.00,per bunch
Flowers,French Marigold,Seasonal,per bunch
Flowers,Gerbera,$9.99-$13.00,per bunch
Flowers,Gladiolas,$14.00,per bunch
Flowers,Green Ball Dianthus,$10.00,per bunch
Flowers,Hellebore,$15.00,per bunch
Flowers,Hydrangea Antique,$3.00-$4.00,per stem
Flowers,Hydrangea blue & white,$2.00,per stem
Flowers,Hydrangea green,$3.00,per stem
Flowers,Hydrangea mini Green,$1.50-$1.75,per stem
Flowers,Iris,$11.00,per bunch
Flowers,Lilies Oriental,$10.50-$14.00,per bunch
Flowers,Premium blonde Lilies,$14.00,per bunch
Flowers,Lisianthus,$11.50-$14.00,per bunch
Flowers,Marigold Orange,Market Price,per bunch
Flowers,Matsumoto,$10.00,per bunch
Flowers,MiniCalla Lily,$17.00,per bunch
Flowers,Peonies,$45.00/MRKT,per bunch
Flowers,"Pom Button, Cushion, Daisy",$5.50,per bunch
Flowers,Pom Seasonal,$6.00,per bunch
Flowers,Pin Cushion,$3.00,per bunch
Flowers,Protea,$3.00-$4.50,per stem
Flowers,Ranunculus Butterfly,$24.00,per bunch
Flowers,Ranunculus Ecuadorian,$22.00,per bunch
Flowers,Ranunculus CA grown,$12.00-$14.00,per bunch
Flowers,Snapdragon,$9.00,per bunch
Flowers,Stock CA grown,$10.00,per bunch
Flowers,Straw Flower,$5.00,per bunch
Flowers,Sunflower,$4.00,per bunch
Flowers,Tuberose CA grown,$9.00,per bunch
Flowers,Tropical Bouquet,$13.00,per bunch
Flowers,"Tulip Yellow, Purple, Orange, Pink",$14.00,per bunch
Flowers,Mandarin Xpression,Market Price,per bunch
Flowers,Spray Roses,$12.00-$16.00,per bunch
Flowers,Dendrobium Purple/White,$21.00,per bunch
Flowers,Cymbidium Regular,$21.00-$26.00,per bunch
Fillers & Greens,Acacia Knifeblade,$5.00,per bunch
Fillers & Greens,Ageratum,$7.50,per bunch
Fillers & Greens,Agonis Burgundy,$8.00,per bunch
Fillers & Greens,Amaranthus,$12.00,per bunch
Fillers & Greens,Aralia,$6.00,per bunch
Fillers & Greens,"Aspidistra Green, Variegated",$6.50,per bunch
Fillers & Greens,Bells of Ireland,$9.00,per bunch
Fillers & Greens,Black Majestic,$4.50,per bunch
Fillers & Greens,Bluperum,N/A,per bunch
Fillers & Greens,Boxwood,$4.00,per bunch
Fillers & Greens,Broom Corn,$5.50,per bunch
Fillers & Greens,Cat Tails,$4.00,per bunch
Fillers & Greens,Chocolate Lace,$5.50-$7.50,per bunch
Fillers & Greens,Cocculus,$6.00,per bunch
Fillers & Greens,Coontie Fern,$5.50-$6.50,per bunch
Fillers & Greens,Craspedia,$6.00,per bunch
Fillers & Greens,Dusty Miller,$8.00,per bunch
Fillers & Greens,"Echinacea Orange, Yellow, Red",$10.00,per bunch
Fillers & Greens,Eucalyptus Baby Blue,$5.50,per bunch
Fillers & Greens,Eucalyptus Feather,$5.00,per bunch
Fillers & Greens,Eucalyptus Gumdrop,$5.00,per bunch
Fillers & Greens,Eucalyptus Gunni,$5.50,per bunch
Fillers & Greens,Eucalyptus Parvifolia,$5.50,per bunch
Fillers & Greens,Eucalyptus Seeded,$4.50,per bunch
Fillers & Greens,Eucalyptus Seeded tinted,$6.00,per bunch
Fillers & Greens,Eucalyptus Silver Dollar,$5.50,per bunch
Fillers & Greens,Eucalyptus Willow,$5.00,per bunch
Fillers & Greens,Fever Few Daisy,$9.00,per bunch
Fillers & Greens,Flat Fern,$5.50,per bunch
Fillers & Greens,Fox Tail,$5.00,per bunch
Fillers & Greens,Ginestra White,$6.00,per bunch
Fillers & Greens,Green Mist,$6.00,per bunch
Fillers & Greens,Gladiola Fillers,$9.50-$13.00,per bunch
Fillers & Greens,Golden Glory,$4.50,per bunch
Fillers & Greens,Gyp Cosmic pearl,$8.00,per bunch
Fillers & Greens,Gypsy Dianthus,$6.00,per bunch
Fillers & Greens,Huckleberry Green/Red,$6.00,per bunch
Fillers & Greens,Honey Bracelet,$4.00,per bunch
Fillers & Greens,Horsetail,$5.50,per bunch
Fillers & Greens,Hypericum,$10.00,per bunch
Fillers & Greens,Hypericum seasonal,$10.00-$12.50,per bunch
Fillers & Greens,Ivy,$5.50,per bunch
Fillers & Greens,Leather Fern,$4.50,per bunch
Fillers & Greens,Leather Fern Case,$83.00,20 bunches
Fillers & Greens,Lemon Bunch,$5.50,per bunch
Fillers & Greens,Lemon Tip Bunch,$4.00,per bunch
Fillers & Greens,Lemon Case,$102.00,20 bunches
Fillers & Greens,Lemon Case Tip,$67.00,20 bunches
Fillers & Greens,Lily Grass,$5.50,per bunch
Fillers & Greens,"Limonium Purple, Pink, White",$9.00,per bunch
Fillers & Greens,Magnolia,$5.00-$7.00,per bunch
Fillers & Greens,Millet Green,$4.00,per bunch
Fillers & Greens,Ming Fern Beautiful,$5.00,per bunch
Fillers & Greens,Monte Casino Purple/White,$6.00,per bunch
Fillers & Greens,Monstera,$13.00,per bunch
Fillers & Greens,"Moss (Mood, Sheet, Spanish)",$30.00-$41.00,per bunch
Fillers & Greens,Myrtle,$4.00-$4.50,per bunch
Fillers & Greens,Nagi,$7.00,per bunch
Fillers & Greens,Olive Regular & Tall,$7.00,per bunch
Fillers & Greens,Orlaya,$8.00,per bunch
Fillers & Greens,Phoenix Robellini,$7.00,per bunch
Fillers & Greens,Pittosporum Variegated,$3.50-$4.00,per bunch
Fillers & Greens,Plumosus,$5.00,per bunch
Fillers & Greens,Podocarpus,$7.50,per bunch
Fillers & Greens,Queen Anne Lace,$8.00,per bunch
Fillers & Greens,Rosemary,$5.00,per bunch
Fillers & Greens,Ruscus Israeli,$4.50,per bunch
Fillers & Greens,Ruscus Colombian,$4.50,per bunch
