Product Name,Price per bunch,Product Type
50 CM Ecuadorian,$23.00-$26.00,FLOWER
60 CM Ecuadorian,$24.00-$29.00,FLOWER
70 CM Ecuadorian,$28.00-$33.00,FLOWER
80 CM Ecuadorian,$30.00-$35.00,FLOWER
Alstromeria,$5.00-$6.00,FLOWER
Anemone,Market Price,FLOWER
Aster Serenade,$8.00-$10.00,FLOWER
Astrantia,US$11.00,FLOWER
Bird of Paradise,US$10.00,FLOWER
Calla Lily,$10.00-$12.00,FLOWER
Carnation,$10.00-$13.00,FLOWER
Carnation Florigene,US$15.00,FLOWER
Carnation Mini,$4.50-$5.00,FLOWER
Cosmos,$9.00-$11.00,FLOWER
Cremone,$8.00-$9.00,FLOWER
Cremone Fall color,US$10.00,FLOWER
Dahlia,$10.00-$12.00,FLOWER
Dahlia Dinner,$10.00-$12.00,FLOWER
Delphinium,$12.00-$14.00,FLOWER
French Marigold,US$6.00,FLOWER
Gerbera,$9.99-$13.00,FLOWER
Gladiolas Mexico,US$14.00,FLOWER
Green Ball Dianthus,US$7.00,FLOWER
Hellebore,US$15.00,FLOWER
Hydrangea,$3.00-$4.00,FLOWER
Hyd Blue & White- Per Stem,$2 per stem,FLOWER
Hydrangea Green- Per Stem,$3 per stem,FLOWER
Hyd Mini Green- Per Stem,$1.50-$1.75 per stem,FLOWER
Iris,US$11.00,FLOWER
Kale,US$10.00,FLOWER
Larkspur pink/purple/white,Market Price,FLOWER
Liatris,US$7.00,FLOWER
Lilies Hybrid,$10.50-$12.00,FLOWER
Lilies Oriental,$10.50 -$14.00,FLOWER
Premium blonde Lilies,US$14.00,FLOWER
Lisianthus,$11.50-$14.00,FLOWER
Marigold Orange,Market Price,FLOWER
Matsumoto,$8.00-$9.00,FLOWER
MiniCalla Lily,US$17.00,FLOWER
Peonies,$45.00/ MRKT,FLOWER
Pom Colombia,$4.00-$5.00,FLOWER
Pom Fall,US$4.00,FLOWER
Protea- per stem,$3.00-$4.50 per stem,FLOWER
Ranunculus Butterfly,US$26.00,FLOWER
Ranunculus Ecuadorian,US$21.00,FLOWER
Ranunculus Local,US$17.00,FLOWER
Snapdragon,US$8.50,FLOWER
Stock Local,US$11.00,FLOWER
Straw Flower,US$5.00,FLOWER
Sunflower,$3.50-$5.00,FLOWER
Tuberose Mexico,US$9.00,FLOWER
Tuberose Local limited,US$10.50,FLOWER
Tulip,$12.00-$14.00,FLOWER
Acacia Knifeblade,US$5.00,FILLER
Ageratum,US$6.00,FILLER
Agonis Burgundy,US$6.00,FILLER
Amaranthus,$7.00-$10.00,FILLER
Aralia,US$6.00,FILLER
Aspidistra,$5.50-$6.50,FILLER
Bells of Ireland,US$9.00,FILLER
Black Majestic,US$4.50,FILLER
Bluperum,N/A,FILLER
Boxwood,US$4.00,FILLER
Broom Corn,US$5.50,FILLER
Cat Tails,US$4.00,FILLER
Chocolate Lace,$5.50- $7.50,FILLER
Cocculus,US$6.00,FILLER
Coontie Fern,$5.50-$6.50,FILLER
Craspedia,US$6.00,FILLER
Dusty Miller Mexico,US$8.00,FILLER
"Echinacea Orange, Yellow, Red",US$8.00,FILLER
Eucalyptus Baby Blue,US$5.50,FILLER
Eucalyptus Feather,US$5.00,FILLER
Eucalyotus Gumdrop,US$5.00,FILLER
Eucalyptus Gunni,US$5.50,FILLER
Eucalyptus Parvifolia,US$5.50,FILLER
Eucalyptus Seeded,US$4.50,FILLER
Eucalyptus Seeded tinted,US$6.00,FILLER
Eucalyptus Silver Dollar,US$5.50,FILLER
Eucalyptus Willow,US$5.00,FILLER
Fever Few Daisy,US$9.00,FILLER
Flat Fern,US$5.00,FILLER
Fox Tail,US$5.00,FILLER
Ginestra White,US$6.00,FILLER
Green Mist,US$4.00,FILLER
Grevellia Foliage,US$5.00,FILLER
Gyp Cosmic pearl,US$8.00,FILLER
Gypsy Dianthus,US$6.00,FILLER
Honey Bracelet,US$4.00,FILLER
Horsetail,US$4.00,FILLER
Hypericum,US$9.00,FILLER
Hypericum Fall Color,US$10.00,FILLER
Ivy,US$4.00,FILLER
Leather Fern Bunch,US$5.00,FILLER
Leather Fern Case,US$79.50,FILLER
Lemon Bunch,US$6.00,FILLER
Lemon Tip Bunch,US$4.00,FILLER
Lemon Case 20 bunches,US$98.00,FILLER
Lemon Case Tip,US$67.00,FILLER
Lily Grass ,US$5.50,FILLER
Limonium,US$9.00,FILLER
Magnolia,$5.00-$7.00,FILLER
Millet Green,US$4.00,FILLER
Ming Fern Beautiful,US$5.00,FILLER
Monte Casino,US$6.00,FILLER
Monstera,US$6.00,FILLER
"Moss (Mood, Sheet, Spanish)",$30.00-$41.00,FILLER
Myrtle,$4.00-$4.50,FILLER
Nagi,US$7.00,FILLER
Olive Regular & Tall,$5.00-$7.00,FILLER
Orlaya,US$8.00,FILLER
Phoenix Robellini,US$6.00,FILLER
Pittosporum Variegated,$3.50-$4.00,FILLER
Plumosus,US$5.00,FILLER
Podocarpus Weeping,$7.00-$8.00,FILLER
Queen Anne Lace,US$10.00,FILLER
Queen Of Africa,N/A,FILLER
Rosemary,US$5.00,FILLER
Ruscus- Israeli Colombian,US$4.00,FILLER
Ruscus Italian,$12.00-$14.00,FILLER
Safari Sunset Burgundy,US$5.00,FILLER
Safflower,US$5.00,FILLER
Sage Natura/Tinted,$3.00-$6.00,FILLER
Scabiosa,$12.00 -$14.00,FILLER
Silver Queen/Italian Pitt,US$9.00,FILLER
Solid Aster Golden Glory,$4.00-$5.00,FILLER
Solid Aster Tinted Orange,US$6.00,FILLER
Springerii,US$5.00,FILLER
Statice,US$6.00,FILLER
Statice Colombian,US$6.00,FILLER
Statice Local,US$6.00,FILLER
Sword Fern,US$5.00,FILLER
Thistle,US$7.00,FILLER
Ti Leaf Green,US$6.00,FILLER
Tree Fern,$5.50-$6.50,FILLER
Veronica White,$7.00-$9.00,FILLER
Wax,US$10.00,FILLER
Xanadu Leaves,US$5.00,FILLER
Yarrow Golden-Yellow,$8.00,FILLER
